name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,100,3,P3,k4,cegar3,0,0.23s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,100,3,P3,k6,cegar3,0,20.27s,SAT,6,0.22s,3,309,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,1,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,1,P3,k2,cegar3,0,0.20s,SAT,3,0.09s,1,2,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,1,P3,k4,cegar3,0,0.51s,SAT,3,0.09s,1,10,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,1,P3,k6,cegar3,0,2.45s,SAT,4,0.09s,1,46,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,3,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,3,P3,k4,cegar3,0,0.21s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,3,P3,k6,cegar3,0,7.92s,SAT,7,0.27s,4,131,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,1,P3,k1,cegar3,0,0.84s,SAT,2,0.17s,2,18,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,1,P3,k2,cegar3,0,0.92s,SAT,2,0.11s,1,19,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,1,P3,k4,cegar3,0,0.89s,SAT,2,0.12s,1,19,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,1,P3,k6,cegar3,0,0.91s,SAT,2,0.11s,1,19,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,3,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,3,P3,k4,cegar3,0,3.28s,SAT,3,0.16s,2,67,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,11,3,P3,k6,cegar3,0,13.56s,SAT,5,0.14s,2,258,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,1,P3,k1,cegar3,0,0.13s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,1,P3,k2,cegar3,0,1.39s,SAT,4,0.16s,2,25,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,1,P3,k4,cegar3,0,5.67s,SAT,5,0.18s,2,89,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,1,P3,k6,cegar3,0,73.68s,SAT,9,0.26s,3,659,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,1,P3,k1,cegar3,0,0.31s,SAT,2,0.10s,1,5,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,1,P3,k2,cegar3,0,0.87s,SAT,3,0.10s,1,20,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,1,P3,k4,cegar3,0,1.54s,SAT,6,0.10s,1,20,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,1,P3,k6,cegar3,0,5.48s,SAT,7,0.11s,1,74,0.00s
