name,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
L3_2013_Grieco_et_al,P3,k1,naive,0,1.42s,UNSAT,0,,,0,0.02s
L3_2013_Grieco_et_al,P3,k2,cegar1,124,592.44s,TO,156,0.05s,1,3,0.00s
L3_2013_Grieco_et_al,P3,k2,cegar2,124,597.09s,TO,159,0.06s,1,8,0.00s
L3_2013_Grieco_et_al,P3,k2,cegar3,0,0.29s,SAT,2,0.06s,1,8,0.00s
L3_2013_Grieco_et_al,P3,k2,cegar4,0,0.27s,SAT,2,0.05s,1,8,0.00s
L3_2013_Grieco_et_al,P3,k2,complementary,0,2.62s,SAT,0,2.61s,0,8,0.02s
L3_2013_Grieco_et_al,P3,k2,naive,0,71.39s,SAT,0,3.44s,0,8,0.02s
L3_2013_Grieco_et_al,P3,k4,cegar1,124,586.68s,TO,167,0.05s,1,6,0.00s
L3_2013_Grieco_et_al,P3,k4,cegar2,124,597.33s,TO,174,0.05s,1,7,0.00s
L3_2013_Grieco_et_al,P3,k4,cegar3,0,75.75s,SAT,20,0.06s,1,722,0.00s
L3_2013_Grieco_et_al,P3,k4,cegar4,0,54.96s,SAT,16,0.05s,1,722,0.00s
L3_2013_Grieco_et_al,P3,k4,complementary,124,76.11s,TO,0,2.62s,0,80,0.02s
L3_2013_Grieco_et_al,P3,k4,naive,124,256.32s,TO,0,15.50s,0,24,0.02s
L3_2013_Grieco_et_al,P3,k6,cegar1,124,599.17s,TO,180,0.08s,2,1,0.00s
L3_2013_Grieco_et_al,P3,k6,cegar2,124,593.47s,TO,170,0.08s,2,4,0.00s
L3_2013_Grieco_et_al,P3,k6,cegar3,124,530.20s,TO,32,0.06s,1,1999,0.00s
L3_2013_Grieco_et_al,P3,k6,cegar4,124,598.91s,TO,23,0.05s,1,2613,0.00s
L3_2013_Grieco_et_al,P3,k6,complementary,124,74.73s,TO,0,2.61s,0,80,0.02s
L3_2013_Grieco_et_al,P3,k6,naive,124,598.09s,TO,0,10.09s,0,14,0.02s
L4_2015_Flobak_et_al,P3,k1,cegar1,0,0.01s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k1,cegar2,0,0.01s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k1,cegar3,0,0.01s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k1,cegar4,0,0.03s,UNSAT,1,,,0,0.00s
L4_2015_Flobak_et_al,P3,k1,complementary,0,0.24s,UNSAT,0,,,0,0.01s
L4_2015_Flobak_et_al,P3,k1,naive,0,2.37s,UNSAT,0,,,0,0.01s
L4_2015_Flobak_et_al,P3,k2,cegar1,0,0.02s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k2,cegar2,0,0.02s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k2,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
L4_2015_Flobak_et_al,P3,k2,cegar4,0,0.04s,UNSAT,1,,,0,0.00s
